Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
262.0,267.89999,250.02999,254.25999,254.25999,11896100,2018,2,5
247.69999,266.70001,245.0,265.72,265.72,12595800,2018,2,6
266.57998,272.45001,264.32998,264.55999,264.55999,8981500,2018,2,7
267.07998,267.61999,250.0,250.1,250.1,9306700,2018,2,8
253.85,255.8,236.11,249.47,249.47,16906900,2018,2,9
252.13999,259.14999,249.0,257.95001,257.95001,8534900,2018,2,12
257.29,261.41,254.69999,258.26998,258.26998,6855200,2018,2,13
260.47,269.88,260.32998,266.0,266.0,10972000,2018,2,14
270.02999,280.5,267.63,280.26998,280.26998,10759700,2018,2,15
278.73001,281.95999,275.69,278.51998,278.51998,8312400,2018,2,16
277.73999,285.80999,276.60998,278.54998,278.54998,7769000,2018,2,20
282.07,286.64001,280.01001,281.04,281.04,9371100,2018,2,21
283.88,284.5,274.45001,278.14001,278.14001,8891500,2018,2,22
281.0,286.0,277.80999,285.92999,285.92999,7301800,2018,2,23
288.75,295.64999,287.01001,294.16,294.16,10268600,2018,2,26
294.76998,297.35998,290.58999,290.60998,290.60998,9416500,2018,2,27
293.1,295.75,290.77999,291.38,291.38,7653500,2018,2,28
292.75,295.25,283.82998,290.39001,290.39001,11932100,2018,3,1
284.64999,301.17999,283.23001,301.04998,301.04998,13345300,2018,3,2
302.85,316.91,297.6,315.0,315.0,18986100,2018,3,5
319.88,325.79,316.5,325.22,325.22,18525800,2018,3,6
320.0,323.73999,314.54998,321.16,321.16,17132200,2018,3,7
322.20001,322.92001,314.13,317.0,317.0,11340100,2018,3,8
321.32998,331.44,320.23001,331.44,331.44,14500200,2018,3,9
333.55999,333.98001,318.6,321.29998,321.29998,20369200,2018,3,12
323.86999,325.83999,313.27999,315.88,315.88,12917200,2018,3,13
318.16,323.88,317.70001,321.54998,321.54998,10475100,2018,3,14
323.17001,323.39999,318.14001,321.08999,321.08999,5642900,2018,3,15
321.42001,324.10998,318.36999,318.45001,318.45001,7333700,2018,3,16
315.79998,317.0,307.33999,313.48001,313.48001,9925200,2018,3,19
313.26001,319.5,312.79998,317.5,317.5,5991900,2018,3,20
316.35,319.39999,314.51001,316.48001,316.48001,5263900,2018,3,21
313.07,314.11999,305.66,306.70001,306.70001,8063300,2018,3,22
307.41,309.36999,300.35998,300.94,300.94,9529900,2018,3,23
309.35998,321.02999,302.0,320.35,320.35,11988300,2018,3,26
322.48999,322.89999,297.0,300.69,300.69,12068600,2018,3,27
298.39001,298.79998,281.60998,285.76998,285.76998,18972900,2018,3,28
287.0,295.35,275.89999,295.35,295.35,19145500,2018,3,29
291.94,292.86999,275.04998,280.29,280.29,13405800,2018,4,2
285.45001,291.25,278.01001,283.67001,283.67001,12694900,2018,4,3
273.63,290.30999,271.22,288.94,288.94,12914000,2018,4,4
293.14999,299.16,289.10998,293.97,293.97,10655200,2018,4,5
289.1,298.85,285.64999,288.85,288.85,11444800,2018,4,6
